,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
7,359.703898119243,-33.5561740716823,,1.6353784107819336e+18,2.3131045276014633e+18,20131541.0,10.6886746875107,11.306,0.023,10.819,0.026,4.3195272950382,0.483656306010876,0.269
238,359.467876358327,-30.0883192550598,,1.6353784107819336e+18,2.326866942847102e+18,20131425.0,11.9075260838083,12.872,0.024,12.149,0.053,4.14184284008572,0.4085146572458389,0.269
240,359.583855715253,-30.2809605461613,,1.6353784107819336e+18,2.3268492475818476e+18,20131425.0,9.94324209561721,10.374,0.034,10.062,0.056,4.39205679301517,0.4140126060206155,0.269
243,359.75974966887,-30.221427036909,,1.6353784107819336e+18,2.3268504158129505e+18,20131425.0,10.7176632014149,11.415,0.026,10.894,0.041,4.04698781892404,0.43326763295577453,0.269
244,359.75974966887,-30.221427036909,,1.6353784107819336e+18,2.3268504158129505e+18,20131425.0,10.7176632014149,11.32,0.0,10.866,0.055,4.04698781892404,0.43326763295577453,0.269
258,359.221035787793,-29.8608442062434,,1.6353784107819336e+18,2.326923086659589e+18,20131425.0,11.5322663751481,12.431,0.03,11.728,0.029,3.94178722393305,0.7767974325659273,0.269
259,359.412253791722,-29.8351177916124,,1.6353784107819336e+18,2.3269214717518853e+18,20131425.0,10.1440299452173,10.654,0.047,10.253,0.038,4.61485252577822,0.6073252323844868,0.269
266,359.618411417618,-29.8189775318625,,1.6353784107819336e+18,2.3268796559502915e+18,20131425.0,11.708761025939,12.618,0.026,11.915,0.024,4.29467697255829,0.9372487335335093,0.269
284,357.986343313015,-29.0022963372803,,1.6353784107819336e+18,2.3279524013418895e+18,20161540.0,12.0398583057717,13.023,0.016,12.291,0.041,4.00099622983865,0.45267843953212694,0.269
357,357.389089057534,-27.8396664292815,,1.6353784107819336e+18,2.32828143019652e+18,20131424.0,10.4431921146353,11.01,0.038,10.551,0.035,4.68994906657347,0.5313435776126688,0.269
378,359.253450581706,-27.9232605834285,,1.6353784107819336e+18,2.3340377515251466e+18,20131306.0,10.312129773901,10.854,0.037,10.429,0.063,4.58488949540789,0.8152620022715621,0.269
461,1.6470382917709,-32.801736210427,,1.6353784107819336e+18,2.3133934930007603e+18,20131541.0,11.3299026315469,12.107,0.035,11.485,0.032,4.48402686181136,0.5667800861797262,0.269
535,2.83172700143627,-32.4038772351601,915.0,1.6353784107819336e+18,2.3193803338142525e+18,20131542.0,8.43562067372159,8.522,0.034,8.448,0.006,4.09186948435521,0.40626548501324566,0.269
612,0.637216930964029,-30.9920660299679,,1.6353784107819336e+18,2.3145552301154944e+18,20131425.0,10.9942725071085,11.697,0.035,11.145,0.024,4.14707417092753,0.6187447018839403,0.269
700,0.352086849096989,-30.649525694846,,1.6353784107819336e+18,2.3147711467107256e+18,20131425.0,10.3674201554945,10.913,0.038,10.484,0.029,3.9187268815399,0.47572802108229706,0.269
701,0.352086849096989,-30.649525694846,,1.6353784107819336e+18,2.3147711467107256e+18,20180033.0,10.3674201554945,10.892,0.035,10.51,0.042,3.9187268815399,0.47572802108229706,0.269
707,0.570586832896255,-30.540887242963,,1.6353784107819336e+18,2.3207666805384607e+18,20131425.0,11.940596450736,12.916,0.027,12.178,0.017,3.7907966330395,0.49251837035947577,0.269
712,0.890094058546963,-30.4783156390693,,1.6353784107819336e+18,2.320770185232173e+18,20131425.0,10.4584519598228,10.998,-0.0,10.607,0.058,4.62334968777706,0.47986460915727025,0.269
713,0.890094058546963,-30.4783156390693,,1.6353784107819336e+18,2.320770185232173e+18,20131425.0,10.4584519598228,11.036,0.043,10.616,0.04,4.62334968777706,0.47986460915727025,0.269
717,0.854430470938386,-30.4350599132835,,1.6353784107819336e+18,2.320771216024324e+18,20131425.0,11.741174320512,12.778,0.035,12.0,0.034,4.28130049202659,0.49112344576345524,0.269
720,0.369566993303908,-30.2058262415441,,1.6353784107819336e+18,2.320833441510105e+18,20131425.0,10.689998883271,11.305,0.033,10.835,0.029,3.88388417186024,0.688566160402656,0.269
723,0.230665239245719,-30.0641575333333,77.0,1.6353784107819336e+18,2.320850140342947e+18,20131425.0,8.42941410440413,8.444,0.081,8.416,0.122,3.45267843884246,0.5675005040430126,0.269
726,0.87084575743497,-30.3242158986577,,1.6353784107819336e+18,2.320776644862585e+18,20131425.0,10.4680682950765,10.989,0.007,10.599,0.035,4.11464372496683,0.44009770119581576,0.269
727,0.87084575743497,-30.3242158986577,,1.6353784107819336e+18,2.320776644862585e+18,20131425.0,10.4680682950765,11.016,0.04,10.605,0.027,4.11464372496683,0.44009770119581576,0.269
730,0.890476482064855,-30.2622252204476,,1.6353784107819336e+18,2.320777469496305e+18,20131425.0,12.2320728247036,13.268,0.033,12.479,0.019,3.43996421786641,0.5608359926432586,0.269
