,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
424,56.2570168884505,19.5591875867749,,1.6353784107819336e+18,6.305204405130611e+16,20120951.0,9.26399820418792,9.923,0.004,9.459,0.04,7.37646636248336,0.4713359213825052,0.15
594,54.6370146868574,21.2840884972607,,1.6353784107819336e+18,6.425659339875712e+16,20150950.0,10.3761208946816,11.385,0.036,10.659,0.026,9.08191162972975,0.4908839314315762,0.15
609,54.8050984222544,21.8430648620438,17043.0,1.6353784107819336e+18,6.431321824742746e+16,20121078.0,7.29108363377866,99.999,9.999,99.999,9.999,7.17853035087291,0.43528957066508933,0.15
648,56.5806765972891,20.8796009823328,17607.0,1.6353784107819336e+18,6.328991651986266e+16,20150951.0,11.26123258327,12.397,0.021,11.559,0.036,7.23803151128671,0.4404852214688523,0.15
653,56.3833765804893,21.2464937110476,17552.0,1.6353784107819336e+18,6.350225970270989e+16,20121079.0,7.73104592641488,99.999,9.999,99.999,9.999,7.79139478104103,0.4646416262591189,0.15
712,55.6000729044742,21.4732909108363,17316.0,1.6353784107819336e+18,6.431799425209984e+16,20150950.0,9.66420198449773,10.396,0.048,99.999,9.999,7.84137106133101,0.3810411841324488,0.15
725,55.8797962277326,22.1581873707237,,1.6353784107819336e+18,6.438063205414042e+16,20121079.0,10.1711653010568,11.078,0.039,10.424,0.0,7.41810748712257,0.3844849908661165,0.15
730,56.2455949968972,22.032269900157,17511.0,1.6353784107819336e+18,6.473924464346355e+16,20121079.0,9.32165361579287,10.014,0.011,99.999,9.999,6.97804596207892,0.41767883319779414,0.15
738,56.1743432777813,22.4643586770612,,1.6353784107819336e+18,6.477023712746125e+16,20121079.0,10.5110335214834,11.503,0.04,10.772,0.036,7.28265135413373,0.6772069009868945,0.15
759,57.1639523288499,21.9247633649444,,1.6353784107819336e+18,6.394821474718285e+16,20121079.0,8.28028186651775,99.999,9.999,99.999,9.999,8.49015627269707,0.40173193108957694,0.15
767,57.9254636096763,21.6681735475241,,1.6353784107819336e+18,6.37303052866976e+16,20150951.0,11.2204918043094,12.336,0.044,11.509,0.05,7.21919695469068,0.4013378775154809,0.15
790,57.2969952331596,22.6092712224536,,1.6353784107819336e+18,6.41142410028105e+16,20121079.0,7.7125384353978,99.999,9.999,99.999,9.999,7.67805220807369,0.4594590970604833,0.15
791,57.2969952331596,22.6092712224536,,1.6353784107819336e+18,6.41142410028105e+16,20121079.0,7.7125384353978,99.999,9.999,99.999,9.999,7.67805220807369,0.4594590970604833,0.15
796,57.409166100365,22.5332980777307,17892.0,1.6353784107819336e+18,6.410991167578022e+16,20121079.0,7.02799181208714,99.999,9.999,99.999,9.999,7.64648473364679,0.4820370623911903,0.15
886,59.4572810584835,18.5621947775914,,1.6353784107819336e+18,4.980949164595853e+16,20120952.0,11.1600094592705,12.202,0.043,11.434,0.044,7.73947480314207,0.4182837993924045,0.15
893,60.1720540029953,18.6825798089732,,1.6353784107819336e+18,5.017641929239757e+16,20120952.0,11.2502328105986,12.215,0.033,11.505,0.067,6.27889841303063,0.4134305551486774,0.15
947,58.003443884735,19.5966897433594,18091.0,1.6353784107819336e+18,5.090505190383168e+16,20120952.0,10.2653043399266,11.08,0.028,10.489,0.029,6.76110069761732,0.3933274130077305,0.15
1107,62.2308620516222,20.3857908534081,19367.0,1.6353784107819336e+18,5.186142086186445e+16,20150953.0,9.23220321809436,99.999,9.999,99.999,9.999,7.98129775960411,0.4773668404905109,0.15
1125,58.3703200774672,20.9071777858475,,1.6353784107819336e+18,5.161911598688947e+16,20150951.0,11.5534771357737,12.832,0.028,11.964,0.048,7.48471787828493,0.3888256245346118,0.15
1140,58.8831726642128,21.0792832163218,,1.6353784107819336e+18,5.167491620170534e+16,20150951.0,10.8432248270146,11.811,0.022,11.045,0.04,8.17915093349578,0.4239603254472157,0.15
1149,58.6160536942939,21.3895488809057,18266.0,1.6353784107819336e+18,5.174246744774822e+16,20150951.0,10.7128536488326,11.689,0.035,10.962,0.047,7.43879205180183,0.3918718451260911,0.15
1178,59.5071536395237,20.6765962273587,18544.0,1.6353784107819336e+18,5.14527461334377e+16,20150952.0,9.24892777176795,10.09,-0.0,99.999,9.999,7.69891800106788,0.5531964133602378,0.15
1194,59.59016176427,21.2574814482299,,1.6353784107819336e+18,5.169474177073715e+16,20150952.0,11.1804925426991,12.242,0.034,11.451,0.045,7.27229262052798,0.420885653163828,0.15
1214,59.313188652592,21.5155928057856,,1.6353784107819336e+18,5.17171099609769e+16,20150952.0,11.4197083560544,12.642,0.02,11.764,0.039,6.88232819049277,0.43066495939901683,0.15
