,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
35,125.459604410481,19.4890144343713,,1.6353784107819336e+18,6.63386973364333e+17,20120976.0,8.68081745932052,8.995,-0.0,8.698,-0.0,5.8144526966618,0.4201467958523353,0.187
178,126.1375231105,21.7393662689013,,1.6353784107819336e+18,6.762564820904365e+17,20150975.0,9.822852572973,10.385,0.025,99.999,9.999,5.01674871267775,0.44133994579668107,0.187
351,127.803851747816,18.1535993337697,41788.0,1.6353784107819336e+18,6.622155468041361e+17,20120976.0,9.71800036506295,10.32,0.048,9.849,0.006,5.60068239965086,0.3839047048240309,0.187
393,128.977138175359,18.1493017743687,,1.6353784107819336e+18,6.595392324229055e+17,20150847.0,10.676027656026,11.432,0.03,10.839,0.014,6.1273846608126,0.6935699131276497,0.187
434,129.532046666505,17.0506225317038,,1.6353784107819336e+18,6.584658685562619e+17,20150847.0,9.64047298312047,10.171,0.03,99.999,9.999,5.52416853835667,0.500895282820884,0.187
481,129.115742376304,17.9148178990031,,1.6353784107819336e+18,6.593436224323674e+17,20150847.0,10.6100503131398,11.362,0.022,10.778,0.032,5.32987148192998,0.7647028779965731,0.187
504,129.387663897825,18.6542832801881,,1.6353784107819336e+18,6.596650921445338e+17,20150847.0,10.4738428895898,11.233,0.031,10.629,0.029,5.17364623791842,0.6600387178734735,0.187
508,129.795531910302,18.1759386202568,42436.0,1.6353784107819336e+18,6.594390737855622e+17,20150847.0,10.0906945118261,10.731,0.013,10.179,0.038,5.7327936116378,0.4073272743581,0.187
526,131.049688480079,17.9021370461244,,1.6353784107819336e+18,6.586289055145974e+17,20120978.0,9.78046116054845,10.342,0.024,9.878,-0.0,5.22450817911648,0.5026121629534492,0.187
547,127.730924127301,19.5554469301675,,1.6353784107819336e+18,6.629256251579363e+17,20120976.0,10.606329076451,11.384,0.054,10.823,0.105,5.4856141406199,0.560729718866724,0.187
644,128.866703509378,20.1962831370268,,1.6353784107819336e+18,6.643764307511045e+17,20150976.0,10.1414877590439,10.939,0.08,10.29,0.051,5.97740696494693,0.6244179380321935,0.187
661,128.748281907638,21.0969325187709,42106.0,1.6353784107819336e+18,6.64683125774748e+17,20121104.0,10.9879833396776,11.808,0.114,11.163,0.068,5.66496259798467,0.5338583649904854,0.187
680,129.800562664686,19.1155617833441,,1.6353784107819336e+18,6.612070197644733e+17,20150847.0,10.3958976610002,11.107,0.024,10.514,0.024,5.64090315653053,0.5996161351850778,0.187
681,129.897918823451,18.8768235643348,,1.6353784107819336e+18,6.596874946943067e+17,20150847.0,10.5422367610518,11.258,0.024,10.652,0.023,6.04851598298153,0.675557080709961,0.187
684,130.381247974346,18.5005646380754,,1.6353784107819336e+18,6.594722309335258e+17,20150848.0,10.2209500314353,10.879,0.027,10.386,0.037,5.2591269049947,0.5867279160192035,0.187
688,130.653198022684,18.3888015168755,,1.6353784107819336e+18,6.609091895518577e+17,20150848.0,9.95076119890943,10.532,0.022,10.085,0.029,5.07595959668395,0.606416528569465,0.187
